evidence_notes,extracted_dimensions,sample_id,product_name,variant
"{'target_audience': ['Sales Operations Analysts', 'Account Executives', 'Commercial Directors'], 'core_business_function': ['Revenue operations', 'Sales pipeline management', 'Forecasting'], 'deployment_model': ['Multi-tenant cloud-native SaaS'], 'pricing_model': ['Annual contractual seat-based subscription'], 'integration_depth': ['Open REST and SOAP APIs', 'Event-driven architectures', 'AppExchange apps', 'Enterprise ETL pipelines'], 'compliance_scope': ['EU GDPR', 'CCPA', 'HIPAA', 'SOC 2 Type II', 'ISO/IEC 27001', 'Localized data residency']}","{'target_audience': 'Sales Operations Analysts, Account Executives, Commercial Directors', 'core_business_function': 'Revenue operations, Sales pipeline management, Forecasting', 'deployment_model': 'Multi-tenant cloud-native SaaS', 'pricing_model': 'Annual contractual seat-based subscription', 'integration_depth': 'APIs, event-driven, AppExchange, ETL pipelines', 'compliance_scope': 'GDPR, CCPA, HIPAA, SOC 2 Type II, ISO/IEC 27001, Data residency'}",HAND_01,Salesforce Sales Cloud Enterprise,A
"{'target_audience': ['cross-functional software teams', 'DevOps engineering departments', 'IT service desks', 'PMO offices'], 'core_business_function': ['software development', 'Agile project management', 'DevOps', 'IT service management'], 'deployment_model': ['cloud-native', 'hosted by Atlassian on AWS'], 'pricing_model': ['tiered per-user monthly subscription', 'annual contractual commitments', 'volume based pricing discounts'], 'integration_depth': ['native integration with developer toolchains', 'full REST API', 'Atlassian Marketplace plugins'], 'compliance_scope': ['SOC 2 Type II', 'ISO 27001', 'BSI C5']}","{'target_audience': 'cross-functional software teams', 'core_business_function': 'software development', 'deployment_model': 'cloud-native', 'pricing_model': 'tiered per-user subscription', 'integration_depth': 'native developer toolchain and REST API', 'compliance_scope': 'SOC 2 Type II, ISO 27001, BSI C5'}",HAND_02,Atlassian Jira Enterprise,A
"{'target_audience': ['corporate data architects', 'enterprise data engineers', 'BI analysts', 'data science teams'], 'core_business_function': ['centralized data warehouse storage', 'computing', 'analytical processing'], 'deployment_model': ['multi-cloud', 'AWS', 'Azure', 'Google Cloud'], 'pricing_model': ['pure consumption-based utility', 'storage flat rate per compressed TB/month', 'compute per-second billed by Snowflake Credits'], 'integration_depth': ['kernel-level hooks major cloud storage', 'Kafka connectors', 'Python/SQL APIs', 'Spark integration', 'secure data share'], 'compliance_scope': ['FedRAMP High', 'HIPAA', 'PCI-DSS Level 1', 'SOC 1 & 2 Type II', 'HITRUST CSF']}","{'target_audience': 'corporate data architects; enterprise data engineers; BI analysts; data science teams', 'core_business_function': 'centralized data warehouse storage and analytical processing', 'deployment_model': 'multi-cloud (AWS, Azure, Google Cloud)', 'pricing_model': 'consumption-based utility', 'integration_depth': 'kernel-level cloud storage hooks, Kafka connectors, APIs, Spark integration', 'compliance_scope': 'FedRAMP High, HIPAA, PCI-DSS Level 1, SOC 1 & 2 Type II, HITRUST CSF'}",HAND_03,Snowflake Data Cloud,A
"{'target_audience': ['Chief Information Security Officers', 'SOC analysts', 'enterprise network administrators', 'IT compliance officers'], 'core_business_function': ['endpoint detection', 'threat prevention', 'incident mitigation'], 'deployment_model': ['hybrid cloud-edge endpoint topology', 'cloud-native AI analytics engine', 'kernel-level sensors on endpoints'], 'pricing_model': ['annual subscription license', 'per endpoint or cloud workload count', 'scales with add-on modules'], 'integration_depth': ['streams telemetry data to cloud', 'streaming telemetry APIs', 'bi-directional webhooks to SIEM'], 'compliance_scope': ['NIST SP 800-53', 'FIPS 140-2', 'PCI-DSS Level 1', 'HIPAA', 'GDPR data isolation']}","{'target_audience': 'enterprise security and compliance professionals', 'core_business_function': 'endpoint security', 'deployment_model': 'hybrid cloud-edge', 'pricing_model': 'annual subscription per endpoint/workload', 'integration_depth': 'streaming telemetry APIs and webhook SIEM integration', 'compliance_scope': 'NIST, FIPS, PCI-DSS, HIPAA, GDPR'}",HAND_04,CrowdStrike Falcon Horizon,A
"{'target_audience': ['Global 2000 corporate IT organizations', 'corporate CIOs', 'help desk managers', 'asset configuration teams', 'HR/Facilities operations leaders'], 'core_business_function': ['standardizes and automates internal enterprise service delivery', 'drives ITIL framework processes', 'incident logging', 'root-cause problem analysis', 'change management approvals', 'asset life cycles', 'unified Configuration Management Database (CMDB)'], 'deployment_model': ['multi-instance highly isolated private cloud architecture managed by ServiceNow', 'regional data centers', 'dedicated hybrid on-premise cloud configurations for defense and government'], 'pricing_model': ['annual corporate contracts', 'Fulfiller-seat licensing', 'volume-based contract tiers based on employee headcount'], 'integration_depth': ['IntegrationHub with custom Integration Spokes', 'native connectors to Active Directory, Workday, SAP ERP', 'standard REST/JSON APIs', 'JavaScript script blocks', 'LDAP directories'], 'compliance_scope': ['ISO 20000', 'ISO 27001', 'SOC 2 Type II', 'FedRAMP Moderate/High']}","{'target_audience': 'corporate IT organizations', 'core_business_function': 'enterprise IT service management', 'deployment_model': 'private cloud and hybrid on-premise', 'pricing_model': 'annual contracts with fulfiller-seat licensing and volume tiers', 'integration_depth': 'deep integration via IntegrationHub with multiple enterprise systems', 'compliance_scope': 'ISO 20000, ISO 27001, SOC 2 Type II, FedRAMP Moderate/High'}",HAND_05,ServiceNow ITSM Pro,A
"{'target_audience': ['Mid-market scaling businesses', 'Enterprise revenue operations leaders'], 'core_business_function': ['Marketing automation', 'Sales pipeline management', 'Service desk operations', 'Content management'], 'deployment_model': ['Cloud-native', 'Software-as-a-service'], 'pricing_model': ['Flexible tiered access', 'Licensing based on marketing contacts volume', 'Licensing based on active seats'], 'integration_depth': ['Robust REST APIs', 'Webhooks', 'Pre-built marketplace', 'Bi-directional sync with external databases'], 'compliance_scope': ['Single sign-on', 'Advanced field-level permissions', 'GDPR', 'CCPA']}","{'target_audience': 'Mid-market and enterprise revenue teams', 'core_business_function': 'Revenue operations', 'deployment_model': 'Cloud-native SaaS', 'pricing_model': 'Tiered licensing by contacts and seats', 'integration_depth': 'APIs, webhooks, marketplace, bi-directional data sync', 'compliance_scope': 'GDPR, CCPA, SSO, field-level permissions'}",GEN_01,HubSpot,A
"{'target_audience': ['Customer experience managers', 'Support tier-2 agents', 'Operation directors', 'Engineering teams'], 'core_business_function': ['Customer support', 'Customer experience management'], 'deployment_model': ['Multi-tenant cloud'], 'pricing_model': ['Per-agent monthly subscription'], 'integration_depth': ['REST and Core APIs', 'Native SDKs for mobile integration'], 'compliance_scope': ['SOC 2 Type II', 'ISO 27001', 'HIPAA']}","{'target_audience': 'customer experience managers, support agents, operation directors, engineering teams', 'core_business_function': 'customer support', 'deployment_model': 'multi-tenant cloud', 'pricing_model': 'per-agent monthly subscription', 'integration_depth': 'API and SDK integration', 'compliance_scope': 'SOC 2 Type II, ISO 27001, HIPAA'}",GEN_02,Zendesk,A
"{'target_audience': ['Growth product managers', 'Customer success specialists', 'Online sales teams'], 'core_business_function': ['Customer service', 'User engagement', 'Retention maximization'], 'deployment_model': ['Cloud SaaS'], 'pricing_model': ['Dynamic pricing', 'Monthly chatted people metric', 'Seat licenses'], 'integration_depth': ['Native data pipelines', 'Webhooks', 'Integration with web analytics, communication channels, internal databases'], 'compliance_scope': ['Data encryption at rest and in transit', 'Secure TLS protocols', 'Role-based access control']}","{'target_audience': 'growth product managers, customer success specialists, online sales teams', 'core_business_function': 'customer service', 'deployment_model': 'cloud SaaS', 'pricing_model': 'dynamic pricing, base metric plus seat licenses', 'integration_depth': 'native integrations, webhooks', 'compliance_scope': 'encryption, TLS, role-based access control'}",GEN_03,Intercom,A
"{'target_audience': ['sales professionals', 'small-to-medium business owners', 'growing sales teams'], 'core_business_function': ['visual deal tracking', 'activities scheduling', 'sales forecasting'], 'deployment_model': ['web browsers', 'companion mobile apps'], 'pricing_model': ['flat fee per user per month', 'tiered feature levels'], 'integration_depth': ['REST APIs', 'no native enterprise service bus'], 'compliance_scope': ['standard web security protocols', 'HTTPS encryption', 'secure credential hashing']}","{'target_audience': 'sales professionals, SMB owners, growing sales teams', 'core_business_function': 'deal tracking, scheduling, sales forecasting', 'deployment_model': 'web-based with mobile apps', 'pricing_model': 'per user monthly subscription', 'integration_depth': 'REST API based, no ESB', 'compliance_scope': 'standard web security'}",GEN_04,Pipedrive,A
"{'target_audience': ['independent scaling agencies', 'global enterprise operations groups'], 'core_business_function': ['customer relationship management', 'lead scoring', 'territory management', 'sales force automation', 'advanced analytics'], 'deployment_model': ['cloud', 'localized data residency options'], 'pricing_model': ['user license', 'annual contract', 'functionality tiers'], 'integration_depth': ['deep native hooks into office productivity, finance, and HR applications', 'open APIs for external enterprise integration'], 'compliance_scope': ['SOC 2', 'international security standards', 'audit logs for traceability']}","{'target_audience': 'independent agencies and global enterprises', 'core_business_function': 'customer relationship management', 'deployment_model': 'cloud with localized data residency', 'pricing_model': 'user license annual contract', 'integration_depth': 'deep native integrations and open APIs', 'compliance_scope': 'SOC 2 and international security standards'}",GEN_05,Zoho CRM,A
